Original,NewCategory,Fraction
L,AUT_GAS,0.6520461270031704
L,AUT_GNV,0.011232208439382064
L,CC_GAS,0.26135202947972497
L,CC_DSEL,0.03454220313259603
L,CC_GNV,0.004393510511938968
L,TX_GAS,0.012874446343478863
L,TX_GNV,0.023559475089708674
C,MB_DSEL,1.0
BT,BT1_DSEL,0.16376969038565997
BT,BT3_DSEL,0.053503530689842475
BT,BT4_DSEL,0.019011406844106463
BT,BN1_DSEL,0.5319120043454644
BT,BN3_DSEL,0.08256382400869093
BT,BN4_DSEL,0.14923954372623574
B,P1_DSEL,0.2356828193832599
B,P3_DSEL,0.015418502202643172
B,P4_DSEL,0.6409691629955947
B,PHB_DSEL,0.10792951541850221
AL,AL_DSEL,1.0
AT,AT1_DSEL,0.7790858725761773
AT,AT3_DSEL,0.14058171745152354
AT,AT4_DSEL,0.08033240997229917
BA,BA1_DSEL,0.13398692810457516
BA,BA2_DSEL,0.8660130718954249
ESP,BE_GAS,0.0023531217228943396
ESP,BE_DSEL,0.16789011944650484
ESP,BE_GNV,0.0
ESP,BTE_GAS,0.004373737115379697
ESP,BTE_DSEL,0.05202445200399008
ESP,BTE_GNV,0.004527201575568458
ESP,MBE_GAS,0.14328465099624013
ESP,MBE_DSEL,0.20060362687674246
ESP,MBE_GNV,0.18362022661585287
ESP,CCE_GAS,0.21298309333196921
ESP,CCE_DSEL,0.019796915364350205
ESP,CCE_GNV,0.008542854950507712
INT,BI_GAS,0.026598602901665772
INT,BI_DSEL,0.18189145620634067
INT,BI_GNV,0.0032240730789897904
INT,BTI_GAS,0.03439011284255777
INT,BTI_DSEL,0.06797420741536808
INT,BTI_GNV,0.002955400322407308
INT,MBI_GAS,0.2721655024180548
INT,MBI_DSEL,0.23616335303600214
INT,MBI_GNV,0.17463729177861365
C2P,C2P_DSEL,0.14154518103929356
C2P,C2P_GAS,0.5520059625796508
C2P,C2P_GNV,0.3064488563810556
C2G,C2G_DSEL,0.8881162481987355
C2G,C2G_GAS,0.08830432976734875
C2G,C2G_GNV,0.023579422033915835
C3-C4,C3-C4_DSEL,1.0
C5,C5_DSEL,1.0
>C5,>C5_DSEL,1.0
M,M1_GAS,0.012959523998858646
M,M2_GAS,0.6516224547550998
M,M3_GAS,0.335418021246042
